JobTitle,Company,Location,PostDate,Summary,JobUrl
Junior Data Architect,Firma Foreign Exchange,"Remote in Toronto, ON
+2 locations","Posted
Posted 30+ days ago","This is accomplished by producing both physical and logical data models, providing strategic guidance based on those models, and leading corporate discussions…",https://ca.indeed.com/rc/clk?jk=944523bf36930847&fccid=81c857f29cc797b8&vjs=3
Data Engineer,Four Seasons,"Hybrid remote in Toronto, ON","Posted
Posted 14 days ago","Participate in the design and implementation of BI solutions including the design of the Azure data warehouse, building data pipelines, data models.",https://ca.indeed.com/rc/clk?jk=aee580ae9515a650&fccid=9474516a9efc22f2&vjs=3
Data Engineer Intern,ALSTOM,"Saint-Bruno-de-Montarville, QC","Posted
Posted 30+ days ago","Perform analysis on databases to aid the organization in making data driven business decision.
Monitor key performance indicators and visualize data for the…",https://ca.indeed.com/rc/clk?jk=1a732c1af61c8fc3&fccid=70bbeb2771f8c8e7&vjs=3
Sr. Data Analyst,Manulife,"Toronto, ON","Posted
Posted 1 day ago","Solid understanding in data analytics/data management/programming experience, Machine-Learning, data mining and statistics.",https://ca.indeed.com/rc/clk?jk=304cf4bbdfa0d0c6&fccid=1747adf6142beb48&vjs=3
Data Governance Specialist,Conexus Credit Union,"Regina, SK","Posted
Posted 2 days ago","Responsible for data quality investigations, data quality improvement, and supporting data stewards in root cause analysis.
How you’ll be spending your time*.",https://ca.indeed.com/rc/clk?jk=9263b32aac73ca2e&fccid=939912c588914210&vjs=3
Data Analyst,Tikinagan Child & Family Services,"Sioux Lookout, ON","Posted
Posted 30+ days ago","Provide technical expertise in data storage structures, data mining, and data cleansing.
Experience in data quality as a data manager, identifying critical data…",https://ca.indeed.com/rc/clk?jk=700b03c5406e9ae7&fccid=be8f6470559b02a0&vjs=3
"Winter 2023 Student Opportunities, Data Scientist, Technolog...",Royal Bank of Canada,"Toronto, ON","Posted
Posted 30+ days ago","Ability to perform complex data analysis on large volumes of data and present findings to stakeholders.
Ability to data extract, transform, and load processes…",https://ca.indeed.com/rc/clk?jk=6060067124168391&fccid=537b899e30af3338&vjs=3
Data Conversion Specialist,KPMG,"Toronto, ON","Posted
Posted 30+ days ago","Review data conversion and data migration scope and plans for completeness.
Ensure completeness of data mapping exercise.",https://ca.indeed.com/rc/clk?jk=4f840843000670bd&fccid=2dd390c3a48a7ed0&vjs=3
"Student Intern, Data Analyst & Quote Controller",Celestica,"Toronto, ON","Posted
Posted 30+ days ago","Compile, analyze and reporting of indirect procurement data.
Perform routine reporting tasks that involve spend, performance reports and invoice analysis.",https://ca.indeed.com/rc/clk?jk=ae0a97f29874ed3b&fccid=e7e593a18b26fee3&vjs=3
Data Scientist Co-op (January 2023 - August 2023),Visier Inc.,"Vancouver, BC","Posted
Posted 10 days ago","Performing statistical analysis on the data to build a statistical/machine learning model.
Scientific analysis and knowledge generation.",https://ca.indeed.com/rc/clk?jk=555a02dd88d5b60f&fccid=7bcc6e90bcef893c&vjs=3
Systems and Data Partner,D2L,"Remote in Kitchener, ON","Posted
Posted 8 days ago","Provide data analysis, offer insights and identify trends to the business, including the senior leadership team.
Assist with regular operational reporting.",https://ca.indeed.com/rc/clk?jk=277f88e2f6b0e618&fccid=d797af08f7544bdf&vjs=3
"Director, Institutional Reporting & Analysis",York University,"Toronto, ON","Posted
Posted 6 days ago","7 years of professional experience in higher education research, data management and data analysis.
Skills in quantitative data management and advanced…",https://ca.indeed.com/rc/clk?jk=6ae2f02f1f3942e9&fccid=78311129365d34c7&vjs=3
Data Scientist,CT Corporation,"Toronto, ON","Posted
Posted 30+ days ago",Work closely with partners in IT and data infrastructure team to ingest and utilize new data sources as they become available.,https://ca.indeed.com/rc/clk?jk=ced2a5a6b5bfc4f0&fccid=19c77cd1332e0d40&vjs=3
Senior Data Analyst,EDC,"Ottawa, ON","Posted
Posted 6 days ago","Understanding system data elements and existing data structures, as well as data lineage connecting source to target.
Support/coach junior BAs as required.",https://ca.indeed.com/rc/clk?jk=40ca1c2e5ed7d178&fccid=a8b2e935aa392e07&vjs=3
1 Year Mechanical Engineering Intern (May 2023- May 2024),Arup,"Toronto, ON","Posted
Posted 30+ days ago","Perform engineering analysis and modelling, including whole building load calculations and energy analysis, façade thermal analysis, and airflow modelling.",https://ca.indeed.com/rc/clk?jk=4e39b0de6445eb72&fccid=38c0d5e4f2a99768&vjs=3
Economist or Senior Economist,Bank of Canada,"Hybrid remote in Ottawa, ON","Posted
Today","Experience with current economic analysis and forecasting of emerging markets, the US or other advanced economies, in addition to knowledge of international…",https://ca.indeed.com/rc/clk?jk=f3ec0cd00078fd97&fccid=f183060fc5182bfe&vjs=3
Risk Analyst,Clearco,"Remote in Toronto, ON","Posted
Posted 29 days ago","Have knowledge of financial underwriting, credit analysis, investment operations and/or risk management.
Undertaking financial statement analysis to evaluate…",https://ca.indeed.com/rc/clk?jk=cd2e73fa99cc9041&fccid=4799ed9185c0edc2&vjs=3
Human Resources Intern,Live Nation,"Toronto, ON","Posted
Posted 30+ days ago",Reporting & Analytics – Assist the HR team with auditing ad hoc reports and flagging incomplete or inaccurate data that has been recorded in Workday.,https://ca.indeed.com/rc/clk?jk=6b168d4d8696f139&fccid=f2d0ffe36bb2f0f4&vjs=3
"Data Analyst, Business Intelligence",Pacific Smoke,"Markham, ON","Posted
Posted 2 days ago","Support the development of Data Governance processes such as metadata management, data access and data sharing.
Knowledge of manufacturing industry is a plus.",https://ca.indeed.com/company/Pacific-Smoke-International/jobs/Data-Analyst-ffb3f4126c5a0264?fccid=62b8ad658dad7f7d&vjs=3
"Data Engineer - Remote, Full-Time",Bluelight Consulting,"Remote in Winnipeg, MB
+16 locations","Posted
Posted 24 days ago","Performs data analysis required to troubleshoot data-related issues and assist in the resolution of data issues.
Familiar with Web Services: XML, REST, SOAP.",https://ca.indeed.com/rc/clk?jk=fbb89e433b04cdd1&fccid=a8bcbb5ebbd3ed25&vjs=3
